id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
252,a,,,4.0,573,65,0,0,0,0,0.2,387,42,0,0,0.0,444,48,0,0,0.0,51,19,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,48,0.0,424,32,0.0,405,23,0.0,441,48,,,,1,,Alfie,McNally,McNally,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
253,s,0.0,,5.0,250,41,0,0,0,0,0.0,499,170,0,0,3.7,78,31,0,0,0.0,227,124,0.0,24.6,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.04,0.06,0.1,1.4,0.0,31,12,0.0,215,59,0.0,195,53,0.0,112,33,,,,1,,Joachim,Andersen,Andersen,Suspended until 30 Aug,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.25,1.41,1.03,10.27,0,0,0
254,a,,,4.5,417,90,0,0,0,0,2.0,129,53,0,0,3.0,166,69,0,0,0.0,95,62,0.0,14.4,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.06,0.1,0.16,1.46,0.0,161,66,0.0,104,26,0.0,248,77,0.0,174,61,,,2.0,1,,Antonee,Robinson,Robinson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.24,1.15,1.03,8.23,0,0,0
255,a,,,4.5,452,117,0,0,0,0,0.0,547,187,0,0,2.6,220,89,0,0,0.0,130,89,0.0,8.7,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.41,0.0,224,84,0.0,289,98,0.0,320,115,0.0,286,95,,,,1,,Jorge,Cuenca Barreno,J.Cuenca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.19,1.06,1.06,11.26,0,0,0
256,a,,,4.5,416,89,0,0,0,0,0.3,321,121,0,0,3.7,77,30,0,0,0.0,94,61,0.0,18.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.05,0.07,0.12,1.3,0.0,146,59,0.0,155,39,0.0,224,66,0.0,188,64,,,,1,,Kenny,Tete,Tete,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.3,1.26,1.06,8.29,0,0,0
257,a,,,4.5,443,110,0,0,0,0,0.7,227,85,0,0,3.4,108,45,0,0,0.0,121,82,0.0,22.9,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.06,0.01,0.07,1.35,0.0,86,37,0.0,204,52,0.0,222,65,0.0,162,56,,,,1,,Calvin,Bassey,Bassey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.25,1.42,1.0,7.29,0,0,0
258,a,,,4.5,415,88,0,0,0,0,0.3,313,116,0,0,2.0,282,107,0,0,0.0,93,60,0.0,13.6,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.07,0.07,0.14,1.6,0.0,163,67,0.0,127,30,0.0,159,42,0.0,158,54,,,,1,,Timothy,Castagne,Castagne,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.15,1.52,0.98,7.15,0,0,0
261,a,,,5.5,118,77,0,0,0,0,1.0,194,65,0,0,3.6,93,39,0,0,0.0,377,128,0.0,18.7,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.07,0.17,0.24,1.33,0.0,111,37,0.0,20,19,0.0,79,48,0.0,45,30,1.0,1.0,3.0,1,,Alex,Iwobi,Iwobi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.19,1.49,1.08,6.99,0,0,0
262,a,,,5.5,138,86,0,0,0,0,0.4,281,92,0,0,2.2,271,116,0,0,0.0,397,137,0.0,14.5,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.22,0.05,0.27,1.47,0.0,204,91,0.0,109,78,0.0,62,37,0.0,122,70,,,,1,,Emile,Smith Rowe,Smith Rowe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.28,1.27,1.04,6.98,0,0,0
263,a,,,5.5,210,133,0,0,0,0,0.1,468,192,0,0,1.9,296,128,0,0,0.0,469,184,0.0,8.9,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.11,0.13,0.24,1.27,0.0,241,108,0.0,138,95,0.0,121,70,0.0,199,99,3.0,,,1,,Kevin,Santos Lopes de Macedo,Kevin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.35,1.31,0.79,7.51,0,0,0
